Itemset_ID,Revenue,Product_Name
ITS001,£34588.75,CREAM HANGING HEART T-LIGHT HOLDER
ITS002,£26244.30,REGENCY CAKESTAND 3 TIER
ITS003,£17441.85,PARTY BUNTING
ITS004,£13031.28,JUMBO BAG RED RETROSPOT
ITS005,£13020.42,ASSORTED COLOUR BIRD ORNAMENT
ITS006,£12590.80,LUNCH BAG WOODLAND
ITS006,£12590.80,LUNCH BAG  BLACK SKULL.
ITS006,£12590.80,LUNCH BAG CARS BLUE
ITS007,£11920.45,RED HANGING HEART T-LIGHT HOLDER
ITS007,£11920.45,CREAM HANGING HEART T-LIGHT HOLDER
ITS008,£11880.84,ARMY CAMO WRAPPING TAPE
ITS008,£11880.84,QUEEN OF THE SKIES HOLIDAY PURSE
ITS008,£11880.84,PSYCHEDELIC METAL SIGN CALENDAR
ITS008,£11880.84,BLUE/PINK NEST STRIPE BOX
ITS008,£11880.84,MULTICOLOUR POLKADOT PLATE
ITS008,£11880.84,BLUE BREAKFAST CUP AND SAUCER
ITS008,£11880.84,WAKE UP COCKEREL TILE HOOK
ITS008,£11880.84,PASTEL BLUE PHOTO ALBUM
ITS008,£11880.84,POP ART PUSH DOWN RUBBER
ITS008,£11880.84,LA PALMIERA TILE HOOK
ITS008,£11880.84,LA PALMIERA METAL SIGN CALENDAR
ITS008,£11880.84,POP ART PEN CASE & PENS
ITS008,£11880.84,GOLD WASHBAG
ITS008,£11880.84,PINK BREAKFAST CUP AND SAUCER
ITS008,£11880.84,YELLOW BREAKFAST CUP AND SAUCER
ITS008,£11880.84,PINK BOUDOIR T-LIGHT HOLDER
ITS008,£11880.84,PASTEL PINK PHOTO ALBUM
ITS008,£11880.84,HEARTS WRAPPING TAPE
ITS008,£11880.84,TEATIME PEN CASE & PENS
ITS008,£11880.84,POPART COL BALLPOINT PEN ASST
ITS008,£11880.84,THE KING GIFT BAG
ITS008,£11880.84,BLUE POLKADOT PUDDING BOWL
ITS008,£11880.84,VINTAGE KITCHEN PRINT SEAFOOD
ITS008,£11880.84,RED POLKADOT PUDDING BOWL
ITS008,£11880.84,WHITE WITH BLACK CATS PLATE
ITS008,£11880.84,S/4 BLUE ROUND DECOUPAGE BOXES
ITS008,£11880.84,VIP HOLIDAY PURSE
ITS008,£11880.84,HELLO SAILOR BATHROOM SET
ITS008,£11880.84,BLACK SILVER FLOWER T-LIGHT HOLDER
ITS008,£11880.84,FLOWERS TILE HOOK
ITS008,£11880.84,BLACK BIRD GARDEN DESIGN MUG
ITS008,£11880.84,SET/6 FRUIT SALAD  PAPER PLATES
ITS008,£11880.84,SET/6 FRUIT SALAD PAPER CUPS
