Itemset_ID,Revenue,Product_Name
ITS001,£6945.80,CREAM HANGING HEART T-LIGHT HOLDER
ITS002,£6943.95,REGENCY CAKESTAND 3 TIER
ITS003,£6930.93,ASSORTED COLOUR BIRD ORNAMENT
ITS004,£5715.70,PAPER CHAIN KIT 50'S CHRISTMAS
ITS005,£4416.60,BAKING SET 9 PIECE RETROSPOT
ITS006,£4341.85,METAL SIGN TAKE IT OR LEAVE IT
ITS007,£4184.40,HOT WATER BOTTLE KEEP CALM
ITS008,£3749.94,RABBIT NIGHT LIGHT
ITS009,£3749.25,DOORMAT KEEP CALM AND COME IN
ITS010,£3664.45,RED HANGING HEART T-LIGHT HOLDER
ITS010,£3664.45,CREAM HANGING HEART T-LIGHT HOLDER
ITS011,£3658.08,JUMBO BAG RED RETROSPOT
ITS012,£3423.35,PAPER CHAIN KIT VINTAGE CHRISTMAS
ITS013,£3290.85,CHOCOLATE HOT WATER BOTTLE
ITS014,£3129.28,PAINTED METAL PEARS ASSORTED
ITS014,£3129.28,ASSORTED COLOUR BIRD ORNAMENT
ITS015,£3124.05,NATURAL SLATE HEART CHALKBOARD
ITS016,£3040.70,PARTY BUNTING
ITS017,£3040.65,PAPER CHAIN KIT VINTAGE CHRISTMAS
ITS017,£3040.65,PAPER CHAIN KIT 50'S CHRISTMAS
ITS018,£2967.88,VINTAGE DOILY JUMBO BAG RED
ITS019,£2842.05,PINK REGENCY TEACUP AND SAUCER
ITS019,£2842.05,GREEN REGENCY TEACUP AND SAUCER
ITS019,£2842.05,ROSES REGENCY TEACUP AND SAUCER
ITS020,£2830.50,RETROSPOT TEA SET CERAMIC 11 PC
ITS021,£2787.90,BAKING SET SPACEBOY DESIGN
ITS021,£2787.90,BAKING SET 9 PIECE RETROSPOT
ITS022,£2775.75,CHOCOLATE HOT WATER BOTTLE
ITS022,£2775.75,HOT WATER BOTTLE KEEP CALM
ITS023,£2688.30,HOT WATER BOTTLE I AM SO POORLY
ITS023,£2688.30,CHOCOLATE HOT WATER BOTTLE
ITS024,£2626.30,CHAMBRE HOOK
ITS024,£2626.30,BATHROOM HOOK
ITS024,£2626.30,HOME SWEET HOME HOOK
ITS024,£2626.30,RUSTIC STRAWBERRY JAM POT SMALL
ITS024,£2626.30,RUSTIC STRAWBERRY JAM POT LARGE
ITS024,£2626.30,16 PIECE CUTLERY SET PANTRY DESIGN
ITS024,£2626.30,TRAVEL CARD WALLET TRANSPORT
ITS024,£2626.30,GLASS BONNE JAM JAR
ITS024,£2626.30,CURIO CABINET LINEN AND LACE
ITS024,£2626.30,POPPY FIELDS CHOPPING BOARD
ITS024,£2626.30,TRAVEL CARD WALLET PANTRY
ITS024,£2626.30,VINTAGE LEAF CHOPPING BOARD
ITS024,£2626.30,TRAVEL CARD WALLET VINTAGE LEAF
ITS024,£2626.30,WOODLAND BUNNIES LOLLY MAKERS
ITS024,£2626.30,JAM JAR WITH GREEN LID
ITS024,£2626.30,RED APPLES CHOPPING BOARD
ITS024,£2626.30,PACK OF 12 VINTAGE DOILY TISSUES
ITS024,£2626.30,MAKE YOUR OWN PLAYTIME CARD KIT
ITS024,£2626.30,PANTRY CHOPPING BOARD
ITS024,£2626.30,SET OF 4 KNICK KNACK TINS POPPIES
ITS024,£2626.30,SET OF 6 NATIVITY MAGNETS
ITS024,£2626.30,SET OF 12 FORK CANDLES
ITS024,£2626.30,JAM JAR WITH PINK LID
ITS024,£2626.30,SET OF 12 T-LIGHTS VINTAGE DOILY
ITS024,£2626.30,GLASS  SONGBIRD STORAGE JAR
ITS024,£2626.30,SILVER STARS TABLE DECORATION
ITS024,£2626.30,SILVER BELLS TABLE DECORATION
ITS024,£2626.30,SET 8 CANDLES VINTAGE DOILY
ITS024,£2626.30,GINGHAM RECIPE BOOK BOX
ITS024,£2626.30,WALL ART 70'S ALPHABET
ITS024,£2626.30,TRAVEL CARD WALLET KEEP CALM
ITS024,£2626.30,JUMBO BAG APPLES
ITS024,£2626.30,SET OF 4 SANTA PLACE SETTINGS
ITS024,£2626.30,BUTTON BOX
ITS024,£2626.30,SOLDIERS EGG CUP
ITS024,£2626.30,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES
ITS024,£2626.30,WALL ART VILLAGE SHOW
ITS024,£2626.30,3D CHRISTMAS STAMPS STICKERS
ITS024,£2626.30,MAKE YOUR OWN FLOWERPOWER CARD KIT
ITS024,£2626.30,COTTON APRON PANTRY DESIGN
ITS024,£2626.30,WALL ART DOG LICENCE
ITS024,£2626.30,3D TRADITIONAL CHRISTMAS STICKERS
ITS024,£2626.30,STORAGE TIN VINTAGE DOILY
ITS024,£2626.30,LUNCH BAG VINTAGE LEAF DESIGN
ITS024,£2626.30,MAKE YOUR OWN MONSOON CARD KIT
ITS024,£2626.30,JUMBO BAG PEARS
ITS024,£2626.30,HEADS AND TAILS SPORTING FUN
ITS024,£2626.30,CUPCAKE LACE PAPER SET 6
ITS024,£2626.30,VINTAGE CHRISTMAS TABLECLOTH
